"Common Names","Watering Period","Sun Requirements","Resistances","Image","Scientific Name","Description"
"Black-Eyed Susan","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=SBUF7npoWJ%4043.jpg","Rudbeckia Hirta","Rudbeckia hirta is an upright annual (sometimes biennial or perennial) growing 30–100 cm (12–39 in) tall by 30–45 cm (12–18 in) wide. It has alternate, mostly basal leaves 10–18 cm long, covered by coarse hair, with stout branching stems and daisy-like, composite flower heads appearing in late summer and early autumn. In the species, the flowers are up to 10 cm (4 in) in diameter, with yellow ray florets circling conspicuous brown or black, dome-shaped cone of many small disc florets. However, extensive breeding has produced a range of sizes and colours, including oranges, reds and browns."
"Bleeding-Heart","7-10 Days","Partial Shade","Delicate","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=360u0qY9GI%4044.jpg","Dicentra Spectabilis","The Asian bleeding-heart grows to 120 cm (47 in) tall by 45 cm (18 in) wide. It is a rhizomatous herbaceous perennial with 3-lobed compound leaves on fleshy green to pink stems. The arching horizontal racemes of up to 20 pendent flowers are borne in spring and early summer. The outer petals are bright fuchsia-pink, while the inner ones are white. The flowers strikingly resemble the conventional heart shape, with a droplet beneath – hence the common name."
"Blue Sage","2-3 Weeks","Partial Shade","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=as494BHA86%4045.jpg","Salvia Farinacea","The mealycup sage reaches stature heights of 60 to 90 cm. The shape of the leaf blade varies from ovate-lanceolate to lanceolate. The inflorescence axis forms a blue, rarely a white hair. The truncated calyx has very short calyx teeth. They are dense blue or white hairy, so that the individual enamel teeth are barely recognisable. The bright blue-white flowers are slim and gleaming. The crown will be about 2.5 inches long. Inside the crown there is no ring-shaped hair strip."
"Butterfly-Weed","2-3 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=1yj1xFWG1S%4046.jpg","Asclepias Tuberosa","It is a perennial plant growing to 0.3–1 metre (1 ft 0 in – 3 ft 3 in) tall, with clustered orange or yellow flowers from early summer to early autumn. The leaves are spirally arranged, lanceolate, 5–12 cm (2"" to 5"") long, and 2–3 cm (about 1"") broad.

Some wild plants have been reported to have orange flowers that are very reddish. It is uncertain if this is due to soil mineral content, ecotype genetic differentiation, or both. A cultivar, ""Hello Yellow"", typically has more yellowish flowers than ordinary examples of this plant."
"China Pink","10-14 Days","Partial Shade","Delicate","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=69G293w8u6%4047.jpg","Dianthus Chinensis","The leaves are green to greyish green, slender, 3–5 cm long and 2–4 mm broad. The flowers are white, pink, or red, 3–4 cm diameter, produced singly or in small clusters from spring to mid summer. Several branched stems form a loose eyrie. The basal leaves are usually already withered during flowering, the leaves remain on the stem."
"Chokeberry","2-3 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=G583753FC5%4048.jpg","Aronia Arbutifolia","Aronia arbutifolia, called the red chokeberry, is a North American species of shrubs in the rose family. It is native to eastern Canada and to the eastern and central United States, from eastern Texas to Nova Scotia inland to Ontario, Ohio, Kentucky, and Oklahoma.

Aronia arbutifolia is a branching shrub forming clumps by means of stems forming from the roots. Flowers are white or pink, producing black or bright red fruits. The fruits, whose ill taste inspired the common name, are bitterly acidic (though edible) when eaten raw, but are high in pectin and can be used to make delicious thick jams and jellies."
"Creeping Zinnia","2-3 Weeks","Partial Shade","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=N7VbT4S701%4049.jpg","Sanvitalia Procumbens","Sanvitalia procumbens with the common name of Mexican creeping zinnia is the type species of the genus Sanvitalia and a member of the family Asteraceae and tribe Heliantheae."
"Daylily","7-10 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=gIec09yBbP%4050.jpg","Hemerocallis Hybrids","Daylilies are perennial plants, whose name alludes to its flowers, which typically last about a day. The flowers of most species open in early morning and wither during the following night, possibly replaced by another one on the same scape the next day. Some species are night-blooming. Daylilies are not commonly used as cut flowers for formal flower arranging, yet they make good cut flowers otherwise, as new flowers continue to open on cut stems over several days."
"False Indigo","1-2 Weeks","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=3QY08y7yJR%4051.jpg","Baptisia Australis","Baptisia australis is an herbaceous perennial that reproduces both sexually and asexually by means of its spreading rhizomes. The plant is erect and emerges from the rhizomatic network. The roots themselves are branched and deep, which helps the plant withstand periods of drought. When dug up they are woody and black in colour and show tubercles, wart-like projections found on the roots. The plant branches extensively about halfway up. The stems are stour and glabrous, or hairless. Broken stems secrete a sap that turns dark blue on contact with the air.
The plant may attain a height of 1 to 1.5 metres, and a width of 0.6 to 1 metre. The grey-green trifoliate leaves are arranged alternately, and are further divided into clover-like leaflets that are obovate in shape, or wider towards the apex. Flower spikes appear in early summer. Emerging at the pinnacle are short, upright terminal racemes with pea-like flowers that vary in colour from light blue to deep violet. The flowers, which bloom from spring to summer depending on the region, are bisexual and are roughly 2.5 cm (0.98 in) long. The fruit is a bluish black inflated and hardened pod that ranges from 2.5 to 7.5 cm (0.98 to 2.95 in) in length by 1.25 to 2.5 cm (0.49 to 0.98 in). They are oblong in shape and are sharply tipped at the apex. At maturity they will contain many loose seeds within. The seeds are yellowish brown, kidney shaped and about 2 mm (0.079 in) in size. The leaves emerge about one month before flowering and are shed approximately one month after the pods form. Once the seeds are fully mature, the stems turn a silverish grey and break off from the roots. The pods stay attached and are blown with the stems to another location."
"Fan Flower","1-2 Weeks","Full Sun","PH","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=sZ3bu1wauC%4052.jpg","Scaevola Aemula","Scaevola aemula is a mat-forming, perennial herb that grows up to 50 cm high with brown, coarsely hairy, terete stems. The leaves are elliptic to egg-shaped tapering near the base, sessile, edges toothed, up to 10–88 mm (0.39–3.46 in) long and 4–31 mm (0.16–1.22 in) wide, decreasing in size near the flowers. The fan-shaped flowers are white, blue or mauve with a yellow centre are borne on spikes up to 24 cm (9.4 in) long, corolla 17–25 mm (0.67–0.98 in) long, flattened hairs on the outside and bearded inside and the wings 1–1.5 mm (0.039–0.059 in) wide. The bracts are small, leaf-like, bracteoles lance-shaped and 4.5–7 mm (0.18–0.28 in) long. Flowering occurs mostly from August to October and the fruit are a rounded, wrinkled drupe to 4.5 mm long and covered in soft, short hairs."
"Field Pansy","2-3 Weeks","Full Sun","Water","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=PZmIpV78y9%4053.jpg","Viola Tricolor","Viola tricolor is a small plant of creeping and ramping habit, reaching at most 15 cm (6 ins) in height, with flowers about 1.5 centimetres (0.59 in) in diameter. It grows in short grassland on farms and wasteland, chiefly on acid or neutral soils. It is usually found in partial shade. Its root is of the rhizome type with fine rootlets. The stem (acoli stem: which remains flush with the soil and from which leave the leaves and the flowering stalk) is hairless, sometimes downy and is branched. The plant has no leaf rosette at the base, unlike some other violets, such as Viola hirta. Leaves are, on the contrary, alternate. They are stalked at limbus oval, oblong or lanceolate and more or less serrated margins. The stipules are often quite developed, at least those of the upper leaves. These stipules are palm-lined or palmatised.

The flowers are solitary and lateral, hoisted on long peduncles. They appear on aerial stems with more or less long internodes. The sepals are never larger than the corolla. It is 10 to 25 mm (3/8"" to 1"") long. This corolla can be purple, blue, yellow or white. It can most often be two-tone, yellow and purple. The tricolor shape, yellow, white and purple, is the most sought after."
"Fortune's Hosta","10-14 Days","Full Sun","Heat","https://na3.ragic.com/sims/file.jsp?a=Kentum&f=M995kq1s2r%4054.jpg","Hosta Fortunei","Hostas are herbaceous perennial plants, growing from rhizomes or stolons,[10] with broad lanceolate or ovate leaves varying widely in size by species from 1–18 in (3–45 cm) long and 0.75–12 in (2–30 cm) broad. The smallest varieties are called miniatures. Variation among the numerous cultivars is even greater, with clumps ranging from less than four in (10 cm) across and three in (8 cm) high to more than six ft (200 cm) across and four ft (130 cm) high. Leaf color in wild species is typically green, although some species (e.g., H. sieboldiana) are known for a glaucous waxy leaf coating that gives a blue appearance to the leaf. Some species have a glaucous white coating covering the underside of the leaves. Natural mutations of native species are known with yellow-green (""gold"") colored leaves or with leaf variegation (either white/cream or yellowish edges or centers). Variegated plants very often give rise to sports that are the result of the reshuffling of cell layers during bud formation, producing foliage with mixed pigment sections. In seedlings variegation is generally maternally derived by chloroplast transfer and is not a genetically inheritable trait."
